Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_026283635.1	ASM2628363v1	Ara macao					ANSP 187617			Scaffold	2022-11-22	JANEYE01	233001
GCA_043660495.1	ASM4366049v1	Syrmaticus reevesii					9TG3BFYTFG			Scaffold	2024-10-23	JBIELV01	2341884
GCA_043882375.1	ASM4388237v1	Lyrurus tetrix					RC-2024	female		Scaffold	2024-10-25	JBCEBW01	21482
GCA_000709895.1	ASM70989v1	Balearica regulorum gibbericeps					BGI_N312	male	Annotation submitted by BGI	Scaffold	2014-06-25	JJRR01	53490
GCF_000709895.1	ASM70989v1	Balearica regulorum gibbericeps					BGI_N312	male	NCBI Balearica regulorum gibbericeps Annotation Release 100	Scaffold	2014-06-25	JJRR01	53490
GCA_000710305.1	ASM71030v1	Buceros rhinoceros silvestris					BGI_N320	male	Annotation submitted by BGI	Scaffold	2014-06-25	JMFK01	62257
GCF_000710305.1	ASM71030v1	Buceros rhinoceros silvestris					BGI_N320	male	NCBI Buceros rhinoceros silvestris Annotation Release 100	Scaffold	2014-06-25	JMFK01	62257
GCA_022605575.1	bLatJam1.0.p	Laterallus jamaicensis coturniculus					168171201	female		Scaffold	2022-03-17	JAKCOX01	644
GCA_023055505.1	bCalCai1.0.p	Callipepla californica brunnescens					MVZ:Bird:193975	male		Scaffold	2022-05-05	JALIRH01	320
GCA_036346035.1	ASM3634603v1	Crossoptilon crossoptilon					Z11			Scaffold	2024-02-02	JARXNR01	636
GCA_040869245.1	ASM4086924v1	Sarcogyps calvus					RV4F	female		Contig	2024-07-25	JANIIE01	260
GCA_041146555.1	Meer_Gafri1_1	Gyps africanus					BGZOO20.04711210024			Contig	2024-08-08	JBEHDR01	504
GCA_043789995.1	bChaNiv1.0.p	Anarhynchus nivosus					PMB2274_CCGP	female		Scaffold	2024-10-24	JBFPNB01	1229
GCA_048182245.1	A.insularis_AI_1363_74537_pri_1.0	Aphelocoma insularis					AI_1363_74537	male		Contig	2025-02-27	JBKSIM01	745
GCA_033558235.1	BPBGC_Ngeo_1.0	Neomorphus geoffroyi					LSUMZ B-2286	female		Contig	2023-11-13	JAUMJM01	526
GCA_048174545.1	A.woodhouseii_AW_365326_pri_1.0	Aphelocoma woodhouseii					AW_365326	male		Contig	2025-02-27	JBKSHY01	1138
GCA_023055355.1	bAgeTri1.0.p	Agelaius tricolor					1412-34295	female		Scaffold	2022-04-19	JALJCS01	213
GCF_023055355.1	bAgeTri1.0.p	Agelaius tricolor					1412-34295	female	GCF_023055355.1-RS_2025_02	Scaffold	2022-04-19	JALJCS01	213
GCA_028551555.1	PUWL_Pcris_2	Melozone crissalis		CALT		California		female		Contig	2023-02-08	JAQBSC01	627
GCF_028551555.1	PUWL_Pcris_2	Melozone crissalis		CALT		California		female	GCF_028551555.1-RS_2023_03	Contig	2023-02-08	JAQBSC01	627
GCA_033815535.1	CSIRO_AGI_Pfla_v1	Pezoporus flaviventris					CSIRO_AGI_PZ_B2104156	female		Contig	2023-11-22	JAWVCQ01	993
GCF_033815535.1	CSIRO_AGI_Pfla_v1	Pezoporus flaviventris					CSIRO_AGI_PZ_B2104156	female	GCF_033815535.1-RS_2023_12	Contig	2023-11-20	JAWVCQ01	993
GCA_026119805.1	pur_lepc_1.0	Tympanuchus pallidicinctus					F22	male		Scaffold	2022-11-10	JAPCYR01	206
GCF_026119805.1	pur_lepc_1.0	Tympanuchus pallidicinctus					F22	male	GCF_026119805.1-RS_2023_02	Scaffold	2022-11-10	JAPCYR01	206
GCA_046618655.1	RF_hap2	Carpodacus erythrinus					RF	male		Contig	2025-01-14	JBHOHZ01	708
GCA_042477295.1	Fruf_v1	Fulvetta ruficapilla					WMS3MU01			Scaffold	2024-10-02	JBGGOM01	504
GCA_004360235.1	ASM436023v1	Grus nigricollis					BSYUE-LAB-201903	female		Scaffold	2019-03-22	SMUU01	1812
GCA_947846985.1	FratArc_v3	Fratercula arctica								Scaffold	2023-02-03	CANTUZ01	28
GCA_011125475.1	OU_Melaur_1	Melanerpes aurifrons						female		Contig	2020-03-17	WWNC01	441
GCA_025592945.1	ASM2559294v1	Manacus candei				Guabito, Panama	608988			Contig	2022-10-05	JANKJQ01	643
GCF_025592945.1	ASM2559294v1	Manacus candei				Guabito, Panama	608988		GCF_025592945.1-RS_2023_02	Contig	2022-10-05	JANKJQ01	643
GCA_013433245.1	TAMU_Btm_v1.0	Ara glaucogularis				Bolivia		male		Scaffold	2020-07-21	JACACR01	56
GCA_033556795.1	BPBGC_Tnae_1.0	Tapera naevia					B-15026	female		Contig	2023-11-13	JAUMJJ01	1340
GCA_038088225.1	pur_monq_1.0	Cyrtonyx montezumae					F1298	female		Scaffold	2024-04-12	JBBDGS01	287
GCF_038088225.1	pur_monq_1.0	Cyrtonyx montezumae					F1298	female	GCF_038088225.1-RS_2024_06	Scaffold	2024-04-12	JBBDGS01	287
GCA_036785705.1	bAcamag1.pri.20230524.fasta	Acanthornis magna					B9548_ST67_LSb	male		Contig	2024-02-22	JAWUZG01	1514
GCA_032206185.1	C.guinea_mat1.0	Columba guinea					18282X2_C_GUI_MDS529_F	female	Annotation submitted by University of Utah	Contig	2023-09-29	JAVLUU01	1147
GCA_021292215.1	ASM2129221v1	Lophura nycthemera					School of Life Sciences, Shaanxi Normal University, China, voucher number B10			Scaffold	2021-12-27	JADANK01	1553
GCA_034315485.1	CSIRO_AGI_Poc_V1	Pezoporus occidentalis				Australia				Contig	2023-12-12	JAXCGD01	3590
GCF_034315485.1	CSIRO_AGI_Poc_V1	Pezoporus occidentalis				Australia			GCF_034315485.1-RS_2024_01	Contig	2023-12-12	JAXCGD01	3590
GCA_033783945.1	CSIRO-AGI_Nbou_v1	Neopsephotus bourkii				Australia	Nb327-2			Scaffold	2023-11-17	JAWCUB01	1827
GCF_033783945.1	CSIRO-AGI_Nbou_v1	Neopsephotus bourkii				Australia	Nb327-2		GCF_033783945.1-RS_2023_12	Scaffold	2023-11-17	JAWCUB01	1827
GCA_021398385.1	ASM2139838v1	Gyps himalayensis					XN01			Contig	2022-01-10	JACFZI01	961
GCA_028554395.1	APGP_CSIRO_Pwel_v1	Pezoporus wallicus				Strahan	ANWC-B61680	male		Contig	2023-02-08	JAPVOL01	8090
GCF_028554395.1	APGP_CSIRO_Pwel_v1	Pezoporus wallicus				Strahan	ANWC-B61680	male	GCF_028554395.1-RS_2023_06	Contig	2023-02-08	JAPVOL01	8090
GCA_033459285.1	BPBGC_Cgla_1.0	Clamator glandarius					D3745A	female		Contig	2023-11-09	JAUNZM01	3531
GCA_023333565.1	ASM2333356v1	Puffinus mauretanicus				Black plumage	G18SaCella			Scaffold	2022-05-11	JAJKFH01	4169
GCA_003945595.2	ASM394559v2	Pipra filicauda					LSUMZ 115617	male		Scaffold	2020-12-01	PYIH02	1768
GCF_003945595.2	ASM394559v2	Pipra filicauda					LSUMZ 115617	male	NCBI Pipra filicauda Annotation Release 101	Scaffold	2020-12-01	PYIH02	1768
GCA_033558105.1	BPBGC_Clan_1.0	Coccyzus lansbergi					B-5126	female		Contig	2023-11-13	JAUMJK01	2995
GCA_002167245.1	SpoHypox2.0	Sporophila hypoxantha					MACN 5231			Scaffold	2017-06-05	NDFG01	5095
GCA_003945725.1	ASM394572v1	Corapipo altera					COAL_440	female		Scaffold	2018-12-14	RXGC01	9068
GCF_003945725.1	ASM394572v1	Corapipo altera					COAL_440	female	NCBI Corapipo altera Annotation Release 100	Scaffold	2018-12-14	RXGC01	9068
GCA_003984885.2	ASM398488v2	Neopelma chrysocephalum						female		Scaffold	2018-12-28	RDMT01	42063
GCF_003984885.1	ASM398488v2	Neopelma chrysocephalum						female	NCBI Neopelma chrysocephalum Annotation Release 100	Scaffold	2018-12-28	RDMT01	42063
GCA_030449065.1	OLeu_1.0	Oceanodroma leucorhoa						male		Scaffold	2023-07-13	JASVER01	1685
GCA_008694505.1	ASM869450v1	Cyanoderma ruficeps					SRU082	female		Scaffold	2019-09-25	VZDJ01	7756
GCA_038090715.1	floFus3b	Florisuga fusca					AF0CC37	female		Scaffold	2024-04-12	JAAWXA01	17534
GCA_019232065.1	USGS_Curo_1.0	Centrocercus urophasianus					14NV4802_14NV808	female		Scaffold	2021-07-15	JAHKSY01	1502
GCF_019232065.1	USGS_Curo_1.0	Centrocercus urophasianus					14NV4802_14NV808	female	NCBI Centrocercus urophasianus Annotation Release 100	Scaffold	2021-07-15	JAHKSY01	1502
GCA_045784645.1	ASM4578464v1	Tadorna tadorna					B10K-D-NRM-58-DBG			Scaffold	2024-12-06	JBJGIA01	23209
GCA_016647715.1	ASM1664771v1	Pavo muticus					YNLC101	female		Scaffold	2021-01-15	JACDJE01	2446
GCA_045838425.1	ASM4583842v1	Acrocephalus schoenobaenus					B10K-D-DBG-3			Scaffold	2024-12-09	JBJGBK01	86754
GCA_002218305.1	ASM221830v1	Callipepla squamata		Texas				female	Annotation submitted by Texas A&M University	Scaffold	2017-07-13	MCFN01	34302
GCA_002849675.1	ASM284967v1	Acridotheres javanicus					NGS004			Scaffold	2018-01-02	PEJO01	4312
GCA_020086605.1	ASM2008660v1	Lanius collurio					143784	male		Scaffold	2021-09-21	JACBWW01	39480
GCA_010078415.1	BGI_Pant.V1	Pygoscelis antarcticus					CP TH 060		Annotation submitted by BGI-Shenzhen	Scaffold	2020-01-31	VUKZ01	16691
GCA_008711295.1	ASM871129v1	Anarhynchus alexandrinus					SYSb1531	female		Scaffold	2019-09-27	VUYV01	17135
GCA_024432695.1	Barbary10X.pri	Falco pelegrinoides					JW_2022b	female		Scaffold	2022-07-25	JALPQW01	642
GCA_030710405.1	ASM3071040v1	Todiramphus albicilla					KU116001	male		Scaffold	2023-08-11	JAUPFE01	10062
GCA_025504685.1	ASM2550468v1	Leucosticte australis				Colorado	BCRF_DMNS_52416			Scaffold	2022-10-03	JANIJU01	3064
GCA_003342985.1	aptHaa1	Apteryx haastii					R29945	male		Scaffold	2018-07-26	PTFD01	4183
GCA_024734555.1	CL100093368_L02	Trochalopteron elliotii					SNJ08157			Scaffold	2022-08-23	JANPWX01	25496
GCA_010077935.1	BGI_Sdem.V1	Spheniscus demersus					AP 173		Annotation submitted by BGI-Shenzhen	Scaffold	2020-01-31	VUKX01	15338
GCA_045782875.1	ASM4578287v1	Turdus viscivorus					B10K-DU-022-02	male		Scaffold	2024-12-06	JBJGGB01	83498
GCA_003435085.1	NTU_Smik_1.2	Syrmaticus mikado					TWDZ01	female		Scaffold	2018-08-31	QGNR01	71281
GCA_014363365.1	L_rothschildi_scaffold_01	Leucopsar rothschildi								Scaffold	2020-08-22	BMBG01	13134
GCA_045782655.1	ASM4578265v1	Tringa flavipes					B10K-DU-023-43	female		Scaffold	2024-12-06	JBJGFY01	82779
GCA_003342845.1	notPer1	Nothoprocta perdicaria					Ctin4	male		Scaffold	2018-07-26	PTEW01	2217
GCF_003342845.1	notPer1	Nothoprocta perdicaria					Ctin4	male	NCBI Nothoprocta perdicaria Annotation Release 100	Scaffold	2018-07-26	PTEW01	2217
GCA_003343005.1	rheAme1	Rhea americana					MKP2758	male		Scaffold	2018-07-26	PTEV01	2162
GCA_014363185.1	H_pelagicus_scaffold_01	Haliaeetus pelagicus								Scaffold	2020-08-22	BMBF01	14266
GCA_003031625.1	ASM303162v1	Empidonax traillii				Southwest subspecies	1590-97213			Scaffold	2018-04-03	PWAB01	7791
GCF_003031625.1	ASM303162v1	Empidonax traillii				Southwest subspecies	1590-97213		NCBI Empidonax traillii Annotation Release 100	Scaffold	2018-04-03	PWAB01	7791
GCA_025920805.1	Ptraversi_NRM_v1	Petroica traversi				Rangatira	09_131	female		Scaffold	2022-10-31	JAHLSL01	17141
GCA_013397395.1	ASM1339739v1	Sinosuthora webbiana					B10K-DU-002-08	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VXBN01	31009
GCA_024635365.1	ASM2463536v1	Aix galericulata					NCHU-2012	female	Annotation submitted by Academia Sinica	Scaffold	2022-08-16	JALLAJ01	4009
GCA_023375905.1	ASM2337590v1	Nycticorax nycticorax		Nhe1				female		Scaffold	2022-05-16	JAKFQP01	7608
GCA_003546035.1	ASM354603v1	Mixornis gularis					PRS3255	female		Scaffold	2018-09-11	QVAJ01	9542
GCA_035582865.1	Palbatrus_v1	Phoebastria albatrus				Bering Sea	STAL	male		Scaffold	2024-01-11	JAYKAT01	3572
GCA_025434525.1	Mal_alb_V1.0	Malurus alboscapulatus				Enga Province		male		Scaffold	2022-09-27	JANSVG01	4900
GCA_004320225.1	Bubo blakistoni_ver1.0	Bubo blakistoni								Scaffold	2019-02-16	BJCB01	46772
GCA_004320125.1	Scolopax mira_ver1.0	Scolopax mira								Scaffold	2019-02-15	BJBW01	40750
GCA_028554615.1	bRalCre1.1	Rallus crepitans					B-95207	female		Scaffold	2023-02-09	JAQOTC01	12158
GCA_012487455.1	Nnipalensis_1.0	Nisaetus nipalensis								Scaffold	2020-04-08	BJES01	38768
GCA_013398595.1	ASM1339859v1	Cercotrichas coryphoeus					OUT-0024		Annotation submitted by B10K Consortium	Scaffold	2020-07-10	WBND01	6008
GCA_013397515.1	ASM1339751v1	Upupa epops					B10K-DU-012-37	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZRI01	28829
GCA_013398335.1	ASM1339833v1	Nothoprocta ornata					B10K-MSB-03	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZSH01	4116
GCA_013399995.1	ASM1339999v1	Oenanthe oenanthe					B10K-DU-001-74	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VXBF01	33311
GCA_025802055.1	ASM2580205v1	Pica pica					IRGN ZRRJ9FKBKA			Scaffold	2022-10-23	JAOYNA01	24674
GCA_018403395.1	G_goisagi_scaffold_01	Gorsachius goisagi								Scaffold	2021-03-31	BOSO01	56945
GCA_045033375.1	ASM4503337v1	Tyrannus niveigularis					ANSP 184813			Scaffold	2024-11-18	JBIQPM01	98086
GCA_045787425.1	ASM4578742v1	Montifringilla nivalis					B10K-D-MOB-60	female		Scaffold	2024-12-06	JBJGJN01	123981
GCA_027560215.1	ASM2756021v1	Halcyon smyrnensis					5EJ5G1TQ7V			Scaffold	2023-01-03	JANHFZ01	133435
GCA_013389905.1	ASM1338990v1	Sula dactylatra					B10K-DU-002-49	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-06	WEKW01	67870
GCA_028565035.1	ASM2856503v1	Garrulus glandarius					IRGN GQC7HWLLHX			Scaffold	2023-02-09	JAOXOD01	48662
GCA_012487855.1	Gmonacha_1.0	Grus monacha								Scaffold	2020-04-08	BJET01	45731
GCA_027575065.1	ASM2757506v1	Haliastur indus					ANSP 24515			Scaffold	2023-01-06	JANZXX01	7462
GCA_034782255.1	ASM3478225v1	Accipiter badius					FMNH 447212			Scaffold	2023-12-28	JAVHUK01	7064
GCA_017612475.1	CCG_JAWE_1.0	Zosterops japonicus					GRLB			Scaffold	2021-03-29	JABUOJ01	29442
GCA_013398735.1	ASM1339873v1	Nothocercus julius					B10K-MSB-01	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZSV01	4965
GCA_010303855.1	BubBub1.0	Bubo bubo					eeo-nibr-513			Scaffold	2020-02-04	PYWY01	35666
GCA_028565915.1	ASM2856591v1	Momotus momota					IRGN 15LBX3KN67			Scaffold	2023-02-09	JAOXNV01	68046
GCA_002224875.1	ASM222487v1	Anas zonorhyncha	spot-billed					female		Scaffold	2017-07-25	NOIK01	20089
GCA_012488435.1	Gvipio_1.0	Antigone vipio								Scaffold	2020-04-08	BJEU01	51019
GCA_040798065.1	ASM4079806v1	Garrulax canorus					VBSAH9MAOU			Scaffold	2024-07-21	JBFMKK01	29579
GCA_045788495.1	ASM4578849v1	Luscinia svecica					B10K-D-DBG-60			Scaffold	2024-12-06	JBJGKL01	288171
GCA_000691975.1	ASM69197v1	Corvus brachyrhynchos					BGI_N302	female	Annotation submitted by BGI	Scaffold	2014-06-02	JMFN01	10547
GCF_000691975.1	ASM69197v1	Corvus brachyrhynchos					BGI_N302	female	NCBI Corvus brachyrhynchos Annotation Release 101	Scaffold	2014-06-02	JMFN01	10547
GCA_013396955.1	ASM1339695v1	Regulus satrapa					B10K-DU-001-18	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VWZN01	38895
GCA_000703405.1	ASM70340v1	Apaloderma vittatum					BGI_N311	male	Annotation submitted by BGI	Scaffold	2014-06-16	JMFV01	54728
GCF_000703405.1	ASM70340v1	Apaloderma vittatum					BGI_N311	male	NCBI Apaloderma vittatum Annotation Release 100	Scaffold	2014-06-16	JMFV01	54728
GCA_024363155.1	ASM2436315v1	Aquila nipalensis					KU 119895			Scaffold	2022-07-21	JANCNU01	73187
GCA_002631895.1	ASM263189v1	Agapornis roseicollis					lovebird_dirk_2015_01	male		Scaffold	2017-10-23	NDXB01	52900
GCA_027560335.1	ASM2756033v1	Halcyon badia					PYBLPGWE58			Scaffold	2023-01-03	JANHOD01	175224
GCA_024582635.1	ASM2458263v1	Todiramphus saurophagus					IRGN 2T7VB64F69			Scaffold	2022-08-06	JANIMW01	249179
GCA_027560015.1	ASM2756001v1	Chloroceryle amazona					GZCI2S7TMW			Scaffold	2023-01-03	JANHFX01	193609
GCA_024499975.1	ASM2449997v1	Halcyon malimbica					47OO6CGMHP			Scaffold	2022-08-01	JANHZY01	138005
GCA_032466555.1	ASM3246655v1	Tinamus major					LSUMNS B1407			Scaffold	2023-10-10	JASSRY01	27086
GCA_000690835.1	ASM69083v1	Fulmarus glacialis					BGI_N327	male	Annotation submitted by BGI	Scaffold	2014-05-13	JJRN01	57389
GCF_000690835.1	ASM69083v1	Fulmarus glacialis					BGI_N327	male	NCBI Fulmarus glacialis Annotation Release 100	Scaffold	2014-05-13	JJRN01	57389
GCA_027560235.1	ASM2756023v1	Halcyon leucocephala					BZQVMZ9D4M			Scaffold	2023-01-03	JANHOC01	440410
GCA_024611175.1	ASM2461117v1	Megaceryle torquata					PDCOFV8MGS			Scaffold	2022-08-10	JANIJG01	199113
GCA_002289315.1	UriLom_1.1	Uria lomvia				Coats Island		female		Scaffold	2017-09-11	NOXD01	9327
GCA_027564115.1	ASM2756411v1	Ceyx argentatus					2ZV5HKAGE4			Scaffold	2023-01-03	JANITY01	117399
GCA_024605025.1	ASM2460502v1	Megaceryle maxima					7Q4JQACGN1			Scaffold	2022-08-09	JANHGN01	180495
GCA_013401275.1	ASM1340127v1	Pandion haliaetus					B10K-DU-012-58	male	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VYZV01	85775
GCA_049176275.1	ASM4917627v1	Aythya americana					ANSP:skin:192179			Scaffold	2025-03-29	JBMAII01	97777
GCA_002870145.1	P.krameri1.0	Psittacula krameri					jrs2016	female		Scaffold	2018-01-09	NFZL01	167560
GCA_024611195.1	ASM2461119v1	Ceyx melanurus					26BR11BSXK			Scaffold	2022-08-10	JANHGL01	154787
GCA_045782155.1	ASM4578215v1	Corvus corax					CUBE278	female		Scaffold	2024-12-06	JBJGFO01	162020
GCA_025762695.1	ASM2576269v1	Merops pusillus					SEE57XE9B0			Scaffold	2022-10-19	JAOXJO01	54819
GCA_014363165.1	F_cirrhata_scaffold_01	Fratercula cirrhata								Scaffold	2020-08-22	BMBE01	33379
GCA_033439905.1	ASM3343990v1	Ceryle rudis					IRGN 76FE3DOYDO			Scaffold	2023-11-08	JAAGNO01	187344
GCA_027560355.1	ASM2756035v1	Halcyon chelicuti					AAZJJ3EYYE			Scaffold	2023-01-03	JANHGA01	218991
GCA_045033455.1	ASM4503345v1	Tyrannus couchii					KU 89449			Scaffold	2024-11-18	JBIQPO01	207103
GCA_045033475.1	ASM4503347v1	Tyrannus albogularis					YPM 137544			Scaffold	2024-11-18	JBIQPN01	171968
GCA_025447755.1	ASM2544775v1	Corythornis vintsioides					MG7ISKC98Q			Scaffold	2022-09-27	JAOEGS01	141076
GCA_010014965.2	ASM1001496v2	Pyrrhura griseipectus					9DNWD0V6IF			Scaffold	2022-07-29	JAAAKS02	172420
GCA_004320165.1	Dendrocopos noguchii_ver1.0	Dendrocopos noguchii								Scaffold	2019-02-16	BJBY01	154720
GCA_027560095.1	ASM2756009v1	Chloroceryle inda					XSDVVHHFKO			Scaffold	2023-01-03	JANHFY01	194927
GCA_028565255.1	ASM2856525v1	Megaceryle alcyon					B813CVATOM			Scaffold	2023-02-09	JAOWAQ01	71603
GCA_000699545.1	ASM69954v1	Podiceps cristatus					BGI_N338	male	Annotation submitted by BGI	Scaffold	2014-06-11	JMFS01	82923
GCA_027560035.1	ASM2756003v1	Ceyx erithaca					1PJA27LXXK			Scaffold	2023-01-03	JANHFW01	218077
GCA_028571105.1	ASM2857110v1	Tragopan temminckii					T81TGUPUVR			Scaffold	2023-02-09	JAOWBP01	89117
GCA_033439885.1	ASM3343988v1	Alcedo semitorquata					IRGN BEWF2RYO8G			Scaffold	2023-11-08	JAADCN01	220970
GCA_009823435.2	ASM982343v2	Nymphicus hollandicus					MissyBob_DYQSUJFBEA	female		Scaffold	2022-11-30	WTXV02	211548
GCA_029286575.1	ASM2928657v1	Pitangus sulphuratus						female	Annotation submitted by LNCC	Scaffold	2023-03-20	WHWA01	11553
GCA_025309335.1	ASM2530933v1	Aegypius monachus					KU 91378			Scaffold	2022-09-20	JANUXQ01	7718
GCA_000699945.1	ASM69994v1	Cathartes aura					BGI_N323	female	Annotation submitted by BGI	Scaffold	2014-06-11	JMFT01	104141
GCA_033439865.1	ASM3343986v1	Alcedo quadribrachys					IRGN 6702028B7T			Scaffold	2023-11-08	JAABPQ01	226261
GCA_024611155.1	ASM2461115v1	Corythornis cristatus					O9RTRNBQEF			Scaffold	2022-08-10	JANHGM01	216353
GCA_025802355.1	ASM2580235v1	Corythornis madagascariensis					IRGN TOHTQJH8QJ			Scaffold	2022-10-23	JAOYMX01	129395
GCA_027559835.1	ASM2755983v1	Ispidina lecontei					FFQXHTPSU3			Scaffold	2023-01-03	JANHOA01	297905
GCA_027564255.1	ASM2756425v1	Corythornis leucogaster					V5Z1USBMU3			Scaffold	2023-01-03	JANITV01	334780
GCA_025447775.1	ASM2544777v1	Ceyx margarethae					W250R15UOX			Scaffold	2022-09-27	JAOEGR01	171719
GCA_033439845.1	ASM3343984v1	Ispidina picta					IRGN H72MP4AQ6Y			Scaffold	2023-11-08	JAABNV01	238936
GCA_008033365.1	NUS_rp_v1	Pseudorectes ferrugineus					Z43706	female		Scaffold	2019-08-20	QWTY01	128165
GCA_002909625.1	Bthov1.0	Bambusicola thoracicus					RTK389	female	Annotation submitted by University of Florida	Scaffold	2018-01-31	PPHD01	163748
GCA_004023745.1	ASM402374v1	Recurvirostra avosetta					S068744-2018			Scaffold	2019-01-15	SAYO01	35873
GCA_013401375.1	ASM1340137v1	Spizella passerina					B10K-DU-023-52	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	WBNQ01	615194
GCA_038406215.1	ASM3840621v1	Sibirionetta formosa					UAM:Bird:28790			Scaffold	2024-04-22	JBCAUB01	318922
GCA_038406095.1	ASM3840609v1	Spatula clypeata					ANSP:skin:190948			Scaffold	2024-04-22	JBCATZ01	396107
GCA_024222105.1	ASM2422210v1	Accipiter cooperii					ANSP 33350			Scaffold	2022-07-12	JANBPI01	45722
GCA_001655115.1	GWplu1.0	Phylloscopus plumbeitarsus					BK2	male		Scaffold	2016-06-02	LXOY01	308480
GCA_025728025.1	ASM2572802v1	Pithecophaga jefferyi					IRGN QV2FOJOLJG			Scaffold	2022-10-17	JAOTQI01	11238
GCA_025630025.2	ASM2563002v2	Gallinago media					UWBM 74179			Scaffold	2023-05-25	JAOSLN02	86384
GCA_047404275.1	ASM4740427v1	Sula nebouxii					FMNH 124124			Scaffold	2025-02-04	JBKOQH01	322708
GCA_027497755.1	ASM2749775v1	Aquila audax								Scaffold	2022-12-30	JANVCD01	17320
GCA_006937325.1	anoDid_nucDNA_orig	Anomalopteryx didiformis					TW95			Scaffold	2019-07-12	SZQC01	1909
GCA_034780795.1	ASM3478079v1	Spinus spinus					FMNH 54757			Scaffold	2023-12-28	JAWVBC01	1085897
GCA_049176775.1	ASM4917677v1	Tadorna cristata					NHMD 916127			Scaffold	2025-03-29	JBMBTY01	1058944
GCA_048591965.1	ASM4859196v1	Haematopus ostralegus					9RF13S5YFR			Scaffold	2025-03-16	JBLYCA01	345163
GCA_003993805.1	UO_Hhiman_2.0	Himantopus leucocephalus					B60480			Scaffold	2019-01-04	RSEF01	1442
GCA_013401055.1	ASM1340105v1	Uria aalge					OUT-0019	female	Annotation submitted by B10K Consortium	Scaffold	2020-07-10	VZUE01	52038
GCA_016584745.2	ASM1658474v2	Phylloscopus trochilus trochilus					CP59525	male		Scaffold	2022-11-18	WQNJ02	546
GCA_026261815.1	Monaracha_assembly_V1	Monarcha castaneiventris obscurior					RU430			Scaffold	2022-11-21	JAMPIT01	899
GCA_030060385.1	ASM3006038v1	Muscicapa striata striata				Europe	MNHN ZO 2018-449			Contig	2023-05-22	JAREIS01	4779
GCA_009792885.1	CLO_EAlp_1.0	Eremophila alpestris peregrina					EALPPER07	male		Scaffold	2019-12-23	WMCF01	2713
GCA_025345505.1	ASM2534550v1	Todiramphus chloris collaris				Philippines	FMNH_358326	female		Scaffold	2022-09-21	JANVCC01	12607
GCA_014362705.1	C_janthina_scaffold_01	Columba janthina nitens								Scaffold	2020-08-22	BMBC01	15508
GCA_020466415.1	ASM2046641v1	Ammodramus savannarum pratensis				Eastern subspecies	155320	female		Scaffold	2021-10-13	JAHXMQ01	12343
GCA_001870855.1	T_cupido_pinnatus_GPC_3440_v1	Tympanuchus cupido pinnatus					GPC 3440	female		Scaffold	2016-11-07	MOXI01	12186
GCA_002844005.1	Godwit_v1	Limosa lapponica baueri					BTGAFAM01	pooled male and female	Annotation submitted by Universidade Federal do Rio de Janeiro	Scaffold	2017-12-15	LXVZ01	32319
GCA_032159205.1	ASM3215920v1	Eurystomus glaucurus suahelicus					MNHN 2011-224			Scaffold	2023-09-28	JAVFHW01	87431
GCA_917880015.2	bAraRub1_ORGONE04	Ara rubrogenys								Scaffold	2022-01-30	CAKMNV02	221
GCA_037951015.1	bButReg1_p1.0	Buteo regalis					FerruginousHawk01	male		Contig	2024-04-03	JBANLG01	231
GCA_046605145.1	ASM4660514v1	Hypotaenidia owstoni					SCBI 217044			Contig	2025-01-12	JBKIWY01	1035
GCA_050234705.1	Blred	Phoenicurus ochruros				China	PG-2025a			Contig	2025-05-07	JBLKNL01	296
GCA_027886175.1	LUni_PhColl_1	Phylloscopus collybita					SZ8851	female		Contig	2023-01-17	JAJNNQ01	517
GCA_046563285.1	ASM4656328v1	Loriculus galgulus					HP1	female		Scaffold	2025-01-08	JBEXBZ01	114
GCA_050043525.1	bShoAlb1.1	Sholicola albiventris				Bombay Shola	WBS	female		Scaffold	2025-04-30	JBDGPF01	975
GCA_041475435.1	Gcri1.0	Gubernatrix cristata					5697	female		Contig	2024-08-26	JBEIAG01	517
GCA_036630365.1	ASM3663036v1	Acanthiza pusilla					B974_KBIT_kidney	male		Contig	2024-02-15	JAXCHO01	999
GCA_046563585.1	ASM4656358v1	Ptilotula penicillata					MCZ_364075_WPH3	male		Scaffold	2025-01-08	JBEXCA01	169
GCA_048174265.1	C.yucatanicus_CY_8788_pri_1.0	Cyanocorax yucatanicus					CY_8788	male		Contig	2025-02-27	JBKSHK01	901
GCA_049724495.1	ASM4972449v1	Melamprosops phaeosoma				Maui	PO001	male		Scaffold	2025-04-16	JBMBWS01	630
