Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_040207255.1	mMarVan1_p1.0	Marmota vancouverensis					VancouverIslandMarmot03	male		Contig	2024-06-17	JBDUGT01	526
GCA_022079265.1	mLynRuf1.p	Lynx rufus				Redwood Valley	CCGP_SWC_20201006	male		Scaffold	2022-02-08	JAJSDN01	75
GCF_022079265.1	mLynRuf1.p	Lynx rufus				Redwood Valley	CCGP_SWC_20201006	male	GCF_022079265.1-RS_2023_03	Scaffold	2022-02-08	JAJSDN01	75
GCA_030222135.1	86718_ANA_hifiasm-v0.15.2.pri	Aotus nancymaae					86718	female		Contig	2023-06-07	JARRCU01	1278
GCF_030222135.1	86718_ANA_hifiasm-v0.15.2.pri	Aotus nancymaae					86718	female	GCF_030222135.1-RS_2024_04	Contig	2023-06-07	JARRCU01	1278
GCA_040869175.1	arcGaz4_h1	Arctocephalus gazella					ArcGaz01	female		Scaffold	2024-07-25	JBEBZJ01	541
GCA_028537955.1	mMicCal1.0.hap1	Microtus californicus				kernensis	MVZ Mamm 240107	male		Scaffold	2023-02-07	JAQJZF01	350
GCA_019186645.2	TTU_PhHast_1.1	Phyllostomus hastatus					PE091	male		Scaffold	2021-07-09	JAHKBD01	534
GCF_019186645.2	TTU_PhHast_1.1	Phyllostomus hastatus					PE091	male	NCBI Phyllostomus hastatus Annotation Release 100	Scaffold	2021-07-09	JAHKBD01	534
GCA_028538775.1	mMyoYum1.0.hap1	Myotis yumanensis					MYYU_CA2020_CCGP	male		Scaffold	2023-02-10	JAPQVT01	475
GCF_028538775.1	mMyoYum1.0.hap1	Myotis yumanensis					MYYU_CA2020_CCGP	male	GCF_028538775.1-RS_2024_12	Scaffold	2023-02-07	JAPQVT01	475
GCA_005190385.3	NGI_Narwhal_2	Monodon monoceros				Baffin Bay Population	NGI	male		Scaffold	2022-11-09	SIHG02	100
GCA_009764315.1	Tfra_2.0	Trachypithecus francoisi					TF-2019V2	male		Scaffold	2019-12-18	VVIV01	1015
GCF_009764315.1	Tfra_2.0	Trachypithecus francoisi					TF-2019V2	male	NCBI Trachypithecus francoisi Annotation Release 100	Scaffold	2019-12-18	VVIV01	1015
GCA_024711535.1	mDipMer1.0.p	Dipodomys merriami					MVZ:Mamm:240054	male		Scaffold	2022-08-18	JANKKJ01	4353
GCF_024711535.1	mDipMer1.0.p	Dipodomys merriami					MVZ:Mamm:240054	male	GCF_024711535.1-RS_2024_11	Scaffold	2022-08-18	JANKKJ01	4353
GCA_005190385.2	NGI_Narwhal_1	Monodon monoceros				Baffin Bay Population	NGI	male		Scaffold	2019-05-07	SIHG01	6972
GCF_005190385.1	NGI_Narwhal_1	Monodon monoceros				Baffin Bay Population	NGI	male	NCBI Monodon monoceros Annotation Release 100	Scaffold	2019-05-06	SIHG01	6972
GCA_007570785.1	GSC_phorn_1.0	Antilocapra americana					GAN:MWC17-00274	male		Scaffold	2019-07-12	SRVM01	22440
GCA_029783875.1	UCLA_PhaTri_1.0	Phataginus tricuspis					Jaziri	female		Scaffold	2023-04-17	JAQQAC01	26460
GCA_000955945.1	Caty_1.0	Cercocebus atys					FAK	female		Scaffold	2015-03-19	JZLG01	11433
GCF_000955945.1	Caty_1.0	Cercocebus atys					FAK	female	NCBI Cercocebus atys Annotation Release 100	Scaffold	2015-03-19	JZLG01	11433
GCA_005280165.1	ASM528016v1	Marmota himalayana						male		Scaffold	2019-05-10	RAQP01	4363
GCA_012922965.1	ASM1292296v1	Capreolus pygargus					NDHX00028	male		Scaffold	2020-04-28	SNSB01	92048
GCA_907164565.1	mPsaObe1.curated_primary_1811	Psammomys obesus								Scaffold	2021-06-02	CAJQZG01	11459
GCF_907164565.1	mPsaObe1.curated_primary_1811	Psammomys obesus							GCF_907164565.1-RS_2023_04	Scaffold	2021-06-02	CAJQZG01	11459
GCA_004026605.1	OndZib_v1_BIUU	Ondatra zibethicus					US110			Scaffold	2019-01-16	PVIU01	565356
GCA_027943515.1	T_osimensis_1.0	Tokudaia osimensis					A18D			Scaffold	2022-11-01	BPMZ01	25767
GCA_044665705.1	MicArv1.0	Microtus arvalis					CHGhEugn16	male		Scaffold	2024-11-07	JAHRII01	3552
GCA_030674055.1	PU_Rpum_1.0	Rhabdomys pumilio		GNRSAF10				female		Scaffold	2023-08-07	JANHMN01	5491
GCA_000164805.2	Tarsius_syrichta-2.0.1	Carlito syrichta					Samal-C Ts95f	female		Scaffold	2013-09-18	ABRT02	337188
GCF_000164805.1	Tarsius_syrichta-2.0.1	Carlito syrichta					Samal-C Ts95f	female	NCBI Carlito syrichta Annotation Release 101	Scaffold	2013-09-18	ABRT02	337188
GCA_000243295.1	TriManLat1.0	Trichechus manatus latirostris					Lorelei	female		Scaffold	2012-01-23	AHIN01	6322
GCF_000243295.1	TriManLat1.0	Trichechus manatus latirostris					Lorelei	female	GCF_000243295.1-RS_2024_01	Scaffold	2012-01-23	AHIN01	6322
GCA_001698545.2	ASM169854v2	Rhinopithecus bieti					Rb0	male		Scaffold	2016-08-03	MCGX01	103881
GCF_001698545.2	ASM169854v2	Rhinopithecus bieti					Rb0	male	NCBI Rhinopithecus bieti Annotation Release 100	Scaffold	2016-08-03	MCGX01	103881
GCA_000152225.2	Pcap_2.0	Procavia capensis					Dallas Zoo Isis #01D731	female		Scaffold	2014-12-16	ABRQ02	65694
GCA_004024705.2	MosMos_v2_BIUU_UCD	Moschus moschiferus					BS20			Scaffold	2019-07-15	PVHU02	1072499
GCA_963575075.1	PGDP_ProDia	Propithecus diadema								Scaffold	2023-10-31	CAUYSO01	133079
GCA_963573825.1	PGDP_MacLeo	Macaca leonina								Scaffold	2023-11-03	CAUYNU01	172542
GCA_041154305.1	ThrSwi_NIG_v1	Thryonomys swinderianus					TS_M_Accra1			Scaffold	2024-06-12	BAAFGX01	20779
GCA_000181295.3	OtoGar3	Otolemur garnettii					467f Iridium	female		Scaffold	2011-03-16	AAQR03	7793
GCF_000181295.1	OtoGar3	Otolemur garnettii					467f Iridium	female	NCBI Otolemur garnettii Annotation Release 102	Scaffold	2011-03-16	AAQR03	7793
GCA_011754075.1	ASM1175407v1	Pontoporia blainvillei					BP203	male	Annotation submitted by Universidade do Vale do Itajai (UNIVALI)	Scaffold	2020-03-25	PGGH01	493481
GCA_024362965.1	ASM2436296v1	Panthera pardus					Hobbes	male		Scaffold	2022-07-21	JANFAR01	381
GCF_024362965.1	ASM2436296v1	Panthera pardus					Hobbes	male	GCF_024362965.1-RS_2023_02	Scaffold	2022-07-21	JANFAR01	381
GCA_000321225.1	Oros_1.0	Odobenus rosmarus divergens					Ivan	male		Scaffold	2013-01-16	ANOP01	3892
GCF_000321225.1	Oros_1.0	Odobenus rosmarus divergens					Ivan	male	NCBI Odobenus rosmarus divergens Annotation Release 101	Scaffold	2013-01-16	ANOP01	3892
GCA_028583685.1	PetGlider_PUasm1.0	Petaurus breviceps papuanus					PSGF00001	female		Scaffold	2023-02-10	JAMXIF01	1895
GCF_028583685.1	PetGlider_PUasm1.0	Petaurus breviceps papuanus					PSGF00001	female	GCF_028583685.1-RS_2024_10	Scaffold	2023-02-10	JAMXIF01	1895
GCA_965153135.1	BT15 assembly	Papio papio								Contig	2025-02-20	CBCUDI01	319
GCA_025583905.1	NENU_Iio_1.0	Ia io	Great evening bat				JTLFB-0431	female		Scaffold	2022-10-05	JAJQQW01	2008
GCA_041429955.1	ASM4142995v1	Orientallactaga sibirica				Gansu	NJNU2020	male		Contig	2024-08-22	JAXMNK01	565
GCA_018167655.1	Mior012	Microtus oregoni					MIOR12			Contig	2021-04-26	JAGKIF01	2147
GCF_018167655.1	Mior012	Microtus oregoni					MIOR12		NCBI Microtus oregoni Annotation Release 100	Contig	2021-04-26	JAGKIF01	2147
GCA_021234165.1	CSHL_Meso_final	Pteronotus mesoamericanus	Mesoamerican mustached bat				MK-2021	male		Scaffold	2021-12-20	JAIWKQ01	333
GCF_021234165.1	CSHL_Meso_final	Pteronotus mesoamericanus	Mesoamerican mustached bat				MK-2021	male	GCF_021234165.1-RS_2024_03	Scaffold	2021-12-20	JAIWKQ01	333
GCA_014108415.1	mMolMol1.p	Molossus molossus					mMolMol1	male	Annotation submitted by Bat1K	Scaffold	2020-08-13	JACASF01	60
GCF_014108415.1	mMolMol1.p	Molossus molossus					mMolMol1	male	NCBI Molossus molossus Annotation Release 100	Scaffold	2020-08-07	JACASF01	60
GCA_026230045.1	mCorTow1.0.hap2	Corynorhinus townsendii					COTO_CA2020_CCGP	male		Scaffold	2022-11-18	JAPDVU01	182
GCA_047655295.1	SemEnt	Semnopithecus entellus					XQ-2025b	male	Annotation submitted by Northwest University	Contig	2025-02-11	JBLIXN01	2427
GCA_023783455.1	ASM2378345v1	Erythrocebus patas					KIZ-2021_7	male		Contig	2022-06-17	JAKFHT01	4898
GCA_023783575.1	ASM2378357v1	Cebus albifrons					KIZ-2021_2	male		Contig	2022-06-17	JAKFHX01	2079
GCA_041430695.1	mSorOrn1.0.p	Sorex ornatus				salarius		female		Scaffold	2024-08-23	JBCEVT01	623
GCA_014108245.1	mPipKuh1.p	Pipistrellus kuhlii					mPipKuh1	male	Annotation submitted by Bat1K	Scaffold	2020-08-13	JACAGB01	202
GCF_014108245.1	mPipKuh1.p	Pipistrellus kuhlii					mPipKuh1	male	NCBI Pipistrellus kuhlii Annotation Release 101	Scaffold	2020-08-07	JACAGB01	202
GCA_019054845.1	ASM1905484v1	Dipodomys spectabilis					Male_0828	male		Contig	2021-06-29	JAHHPX01	2026
GCF_019054845.1	ASM1905484v1	Dipodomys spectabilis					Male_0828	male	NCBI Dipodomys spectabilis Annotation Release 100	Contig	2021-06-29	JAHHPX01	2026
GCA_027257055.1	ASM2725705v1	Cephalopachus bancanus								Contig	2022-12-23	JAPVLO01	6942
GCA_902825105.1	synceruscaffer	Syncerus caffer								Scaffold	2020-04-02	CADEAB01	3265
GCA_021653895.1	UFL_Mnatal_1.0	Mastomys natalensis				Lowveld savanna grassland	N552			Contig	2022-01-27	JAJTUV01	7311
GCA_012393455.1	Tufts_HGry_1.1	Halichoerus grypus				Northwest Atlantic	241Hg	male		Scaffold	2020-04-16	JAAXOB01	6880
GCF_012393455.1	Tufts_HGry_1.1	Halichoerus grypus				Northwest Atlantic	241Hg	male	NCBI Halichoerus grypus Annotation Release 100	Scaffold	2020-04-15	JAAXOB01	6880
GCA_003182615.2	ASM318261v2	Capra sibirica					CNS	male		Scaffold	2018-10-30	NIYN02	85609
GCA_003009895.1	ASM300989v1	Hyaena hyaena					Hyena2069	female		Scaffold	2018-03-19	PEQU01	5760
GCF_003009895.1	ASM300989v1	Hyaena hyaena					Hyena2069	female	NCBI Hyaena hyaena Annotation Release 100	Scaffold	2018-03-19	PEQU01	5760
GCA_004348235.1	GSC_HSeal_1.0	Phoca vitulina					PV1807	female		Scaffold	2019-02-11	RXNX01	5540
GCF_004348235.1	GSC_HSeal_1.0	Phoca vitulina					PV1807	female	NCBI Phoca vitulina Annotation Release 100	Scaffold	2019-02-11	RXNX01	5540
GCA_009828535.3	HMol_V3	Hylobates moloch					HMO894	male		Scaffold	2021-11-10	WKKJ03	18399
GCF_009828535.3	HMol_V3	Hylobates moloch					HMO894	male	GCF_009828535.3-RS_2023_07	Scaffold	2021-11-10	WKKJ03	18399
GCA_004363575.1	SolPar_v1_BIUU	Solenodon paradoxus					US097			Scaffold	2019-03-22	RJWH01	176618
GCA_003227395.1	ASM322739v1	Tursiops aduncus					CRI000098	female		Scaffold	2018-06-14	NCQN01	16249
GCA_011800145.1	KU_Mleo_1.0	Mirounga leonina					KUSES-001		Annotation submitted by Earth Biogenome Project	Scaffold	2020-03-31	JAAMPH01	1114
GCF_011800145.1	KU_Mleo_1.0	Mirounga leonina					KUSES-001		NCBI Mirounga leonina Annotation Release 100	Scaffold	2020-03-31	JAAMPH01	1114
GCA_003798545.1	ASM379854v1	Axis porcinus					Zoohd001	male		Scaffold	2018-11-20	QQTR01	136093
GCA_004025025.1	TapTer_v1_BIUU	Tapirus terrestris					BS40			Scaffold	2019-01-15	PVID01	803506
GCA_004027455.1	HydHyd_v1_BIUU	Hydrochoerus hydrochaeris					US065			Scaffold	2019-01-16	PVLA01	655342
GCA_007760645.1	ASM776064v1	Sousa chinensis					SCSF	male		Scaffold	2019-07-31	RWJT01	23368
GCA_900497805.2	bare-nosed wombat genome assembly	Vombatus ursinus								Scaffold	2018-12-10	UNPS02	15415
GCF_900497805.2	bare-nosed wombat genome assembly	Vombatus ursinus							NCBI Vombatus ursinus Annotation Release 100	Scaffold	2018-12-10	UNPS02	15415
GCA_008692635.1	BGI_CrCroc_1.0	Crocuta crocuta					KB4526	male	Annotation submitted by BGI	Scaffold	2019-10-07	VOAJ01	24678
GCA_004027575.1	CriGam_v1_BIUU	Cricetomys gambianus					US082			Scaffold	2019-01-16	PVKD01	1102952
GCA_004024965.2	ASM402496v2	Tragulus javanicus					US108	male		Scaffold	2019-07-15	PVHZ02	1082489
GCA_021188215.1	Marc_1.0	Macaca arctoides					LJ-SM-ZOO-2016			Scaffold	2021-12-15	JAJNBW01	7872
GCA_004024585.1	ParHer_v1_BIUU	Paradoxurus hermaphroditus					BSD07			Scaffold	2019-01-15	PITB01	438125
GCA_000276665.1	ChiLan1.0	Chinchilla lanigera					Chin_1	female		Scaffold	2012-07-09	AGCD01	2838
GCF_000276665.1	ChiLan1.0	Chinchilla lanigera					Chin_1	female	NCBI Chinchilla lanigera Annotation Release 101	Scaffold	2012-08-28	AGCD01	2838
GCA_007922755.1	PedCap_v1_BIUU	Pedetes capensis					US022			Scaffold	2019-08-08	VMDO01	673563
GCA_001604975.1	Cebus_imitator-1.0	Cebus imitator					Cc_AM_T3	male		Scaffold	2016-04-04	LVWQ01	7156
GCF_001604975.1	Cebus_imitator-1.0	Cebus imitator					Cc_AM_T3	male	NCBI Cebus imitator Annotation Release 101	Scaffold	2016-04-04	LVWQ01	7156
GCA_023553655.1	mMyrfas1.20211206	Myrmecobius fasciatus					AWGG2021F	female		Scaffold	2022-05-25	JAJPUD01	112292
GCA_004027165.1	CteSoc_v1_BIUU	Ctenomys sociabilis					BS34			Scaffold	2019-01-16	PVKA01	807571
GCA_008086735.1	ASM808673v1	Cheirogaleus medius					cmid_1.0_TD	female		Scaffold	2019-08-26	VBSM01	3231
GCA_963574515.1	PGDP_PapUrs	Papio ursinus								Scaffold	2023-11-03	CAUYQN01	165791
GCA_016801355.1	CarCar1.0	Caracal caracal					Chip ID 208007098900738	male		Scaffold	2021-02-02	JACGTZ01	9020
GCA_021018665.1	miluL	Elaphurus davidianus					milu-zoo-001	male		Scaffold	2021-12-01	JAJIZU01	46350
GCA_000951045.1	Mleu.le_1.0	Mandrillus leucophaeus					KB7577	female		Scaffold	2015-03-12	JYKQ01	12821
GCF_000951045.1	Mleu.le_1.0	Mandrillus leucophaeus					KB7577	female	NCBI Mandrillus leucophaeus Annotation Release 100	Scaffold	2015-03-12	JYKQ01	12821
GCA_963573735.1	PGDP_MacRad	Macaca radiata								Scaffold	2023-11-03	CAUYNO01	172617
GCA_004024685.1	DipSte_v1_BIUU	Dipodomys stephensi					BS19			Scaffold	2019-01-15	PVHN01	1269643
GCA_016801275.1	DSBC_Hbra_1.0	Hystrix brachyura					POm2014	male		Scaffold	2021-02-02	QZML01	151118
GCA_004027025.1	MyoCoy_v1_BIUU	Myocastor coypus					US051			Scaffold	2019-01-16	PVJA01	1669667
GCA_000956105.1	Pcoq_1.0	Propithecus coquereli					6110/MARCELLA	female		Scaffold	2015-03-23	JZKE01	22538
GCF_000956105.1	Pcoq_1.0	Propithecus coquereli					6110/MARCELLA	female	NCBI Propithecus coquereli Annotation Release 100	Scaffold	2015-03-23	JZKE01	22538
GCA_003182575.1	ASM318257v1	Pseudois nayaur					QHXNZ	male		Scaffold	2018-05-31	NIZD01	214772
GCA_004363435.1	PlaMin_v1_BIUU	Platanista minor					BS66	female		Scaffold	2019-03-22	RJWK01	1098790
GCA_000313985.2	ASM31398v2	Echinops telfairi					266	female		Scaffold	2019-07-15	AAIY03	7489
GCF_000313985.2	ASM31398v2	Echinops telfairi					266	female	NCBI Echinops telfairi Annotation Release 103	Scaffold	2019-07-15	AAIY03	7489
GCA_007922815.1	MacCal_v1_BIUU	Macrotus californicus					US035			Scaffold	2019-08-08	VMDR01	1125430
GCA_000327345.1	ASM32734v1	Myotis davidii						male	Annotation submitted by BGI	Scaffold	2012-12-20	ALWT01	101769
GCF_000327345.1	ASM32734v1	Myotis davidii						male	NCBI Myotis davidii Annotation Release 101	Scaffold	2012-12-20	ALWT01	101769
GCA_004026855.1	LepAme_v1_BIUU	Lepus americanus					BS55			Scaffold	2019-01-16	PVJM01	1592829
GCA_004027735.1	CarPer_v1_BIUU	Carollia perspicillata					US073			Scaffold	2019-01-16	PVKM01	1925339
GCA_000688575.1	CavAp1.0	Cavia aperea						male		Scaffold	2014-01-21	AVPZ01	3131
GCA_024510155.1	Gulo_gulo_luscus_R-V1.0	Gulo gulo luscus					FN33715	male	Annotation submitted by The Hospital for Sick Children	Scaffold	2022-08-04	JAJHUB01	546
GCA_003676395.1	ASM367639v1	Sagmatias obliquidens					GAN/ISIS:26980383/991018	female		Scaffold	2018-10-23	RCWK01	5421
GCF_003676395.1	ASM367639v1	Sagmatias obliquidens					GAN/ISIS:26980383/991018	female	GCF_003676395.1-RS_2025_01	Scaffold	2018-10-23	RCWK01	5421
GCA_001458135.2	marMar	Marmota marmota marmota						male		Scaffold	2019-12-18	CZRN02	14031
GCF_001458135.2	marMar	Marmota marmota marmota						male	NCBI Marmota marmota marmota Annotation Release 101	Scaffold	2019-12-18	CZRN02	14031
GCA_043882965.1	mReiMeg1.0.p	Reithrodontomys megalotis longicaudus						male		Scaffold	2024-10-25	JBFLFN01	1469
GCA_013239585.1	ASM1323958v1	Lama glama chaku					CD1-2017	female		Scaffold	2020-06-02	PNXU01	56962
GCA_004026885.1	MegLyr_v1_BIUU	Lyroderma lyra					US036			Scaffold	2019-01-16	PVJL01	1902801
GCA_014189135.1	NRM_Dsumatrensis_v1.fasta	Dicerorhinus sumatrensis harrissoni					Kertam	male		Scaffold	2020-08-14	JABWHU01	1778
GCA_050320145.1	ASM5032014v1	Hydrurga leptonyx					HLNZ013	male		Scaffold	2025-05-12	JBJQNM01	203
GCA_048126345.1	UniMelb_NotTyph_v1.0	Notoryctes typhlops				Waite Creek area	ABTC07570	female		Scaffold	2025-02-26	JBLRMK01	693
GCA_047047975.1	ASM4704797v1	Trachypithecus germaini					JW_2022a	male		Contig	2025-01-23	JALJCN01	264
GCA_029834395.2	SorFum_2.1	Sorex fumeus					SC7_HLTpool	female		Contig	2023-04-17	JARJLC01	497
GCF_029834395.1	SorFum_2.1	Sorex fumeus					SC7_HLTpool	female	GCF_029834395.1-RS_2023_10	Contig	2023-04-17	JARJLC01	497
GCA_917880005.1	ORGONE_02	Nanger dama								Scaffold	2021-11-18	CAKJTW01	1847
GCA_023783555.1	ASM2378355v1	Ateles geoffroyi					KIZ-2021_1	male		Contig	2022-06-17	JAKFHY01	2723
GCA_023783085.1	ASM2378308v1	Mandrillus sphinx					KIZ-2021_16			Contig	2022-06-17	JAKFHM01	2118
GCA_023764695.1	ASM2376469v1	Pygathrix nigripes					KIZ-2021_22	male		Contig	2022-06-17	JAKFHG01	3753
GCA_036184795.1	Ttok1	Tokudaia tokunoshimensis					J-3			Scaffold	2023-09-08	BTHU01	159
GCA_023783065.1	ASM2378306v1	Nomascus siki					KIZ-2021_17	male		Scaffold	2022-06-17	JAKFHL01	2647
GCA_036589455.2	USFQ_Afusci_2	Ateles fusciceps				Jambeli	MaM			Scaffold	2024-12-17	JAZHEH02	3853
GCA_026018925.1	mTupTan1	Tupaia tana					BS70			Scaffold	2022-11-07	JAKSZU01	1197
GCA_902806775.1	Field_vole_promethion_pilon	Microtus agrestis								Contig	2020-02-28	CADCXT01	6993
GCA_014898055.3	MPIMG_talOcc4v2.1	Talpa occidentalis					TD23	male		Scaffold	2020-10-19	RCFO01	3201
GCF_014898055.3	MPIMG_talOcc4v2.1	Talpa occidentalis					TD23	male	GCF_014898055.3-RS_2023_03	Scaffold	2020-10-19	RCFO01	3201
GCA_014824575.3	ASM1482457v3	Sturnira hondurensis				Veracruz	20B			Scaffold	2022-12-28	VSFL02	25881
GCF_014824575.3	WHU_Shon_v2.1	Sturnira hondurensis				Veracruz	20B		NCBI Sturnira hondurensis Updated Annotation Release 100.20210611	Scaffold	2020-09-30	VSFL01	25848
GCA_023101885.1	KIZ_TCIN_v1.0	Typhlomys cinereus					WYS1704033	female		Scaffold	2022-04-25	JALPQD01	1243
GCA_010015895.1	GSC_riverotter_1.0	Lontra canadensis					GAN:19392208	female		Scaffold	2020-01-27	WMAJ01	7023
GCF_010015895.1	GSC_riverotter_1.0	Lontra canadensis					GAN:19392208	female	NCBI Lontra canadensis Annotation Release 100	Scaffold	2020-01-27	WMAJ01	7023
GCA_011680675.1	LBP_v1	Gymnobelideus leadbeateri					B50252	female		Scaffold	2020-03-23	WOXC01	12502
GCA_014363405.1	P_pselaphon_scaffold_01	Pteropus pselaphon								Scaffold	2020-08-23	BMBI01	7513
GCA_006410555.1	IBX	Capra ibex					IBX-bsy			Scaffold	2019-06-24	SJYO01	55914
GCA_014754425.2	SCBI_Odam_1.1	Oryx dammah					SB20612	male		Scaffold	2020-09-25	JABAEV01	9088
GCF_014754425.2	SCBI_Odam_1.1	Oryx dammah					SB20612	male	NCBI Oryx dammah Annotation Release 100	Scaffold	2020-09-25	JABAEV01	9088
GCA_004027375.1	MacSob_v1_BIUU	Macroglossus sobrinus					US102			Scaffold	2019-01-16	PVKZ01	171985
GCA_020311275.1	ASM2031127v1	Eira barbara					male tayra	male		Scaffold	2021-10-05	JAHRIG01	14563
GCA_047676605.1	ppen.pseudohap2.1	Pekania pennanti		AT-2024c				male		Scaffold	2025-02-11	JBLLCW01	21839
GCA_004023785.1	MunMun_v1_BIUU	Mungos mungo					US063			Scaffold	2019-01-15	PISW01	312364
GCA_003265705.2	GSC_fseal_2.0	Callorhinus ursinus					GAN/ISIS: 27379988/994484	female		Scaffold	2025-02-03	QLOG02	14518
GCF_003265705.2	GSC_fseal_2.0	Callorhinus ursinus					GAN/ISIS: 27379988/994484	female	GCF_003265705.2-RS_2025_05	Scaffold	2025-02-03	QLOG02	14518
GCA_004027475.1	AnoCau_v1_BIUU	Anoura caudifer					US021			Scaffold	2019-01-16	PVKU01	337255
GCA_004026585.1	NocLep_v1_BIUU	Noctilio leporinus					US093			Scaffold	2019-01-16	PVIW01	298222
GCA_026826555.1	mTolMat1	Tolypeutes matacus					US073			Scaffold	2022-12-12	JAKSZT01	54571
GCA_011751065.5	ASM1175106v5	Lasiurus cinereus					Cryan_1219	female		Scaffold	2025-02-27	JAAGEH04	2250
GCA_004023845.1	HelPar_v1_BIUU	Helogale parvula					US077			Scaffold	2019-01-15	PJEM01	189370
GCA_902729485.2	Mus_minutoides_I2396_v1	Mus minutoides								Scaffold	2020-09-25	CACVCL01	66350
GCA_014898765.1	PumYag	Puma yagouaroundi				Mexico		male		Scaffold	2020-10-20	JACEOH01	10947
GCF_014898765.1	PumYag	Puma yagouaroundi				Mexico		male	NCBI Puma yagouaroundi Annotation Release 100	Scaffold	2020-10-20	JACEOH01	10947
GCA_002007465.1	ASM200746v1	Ailurus styani					RP43	male		Scaffold	2017-02-28	LNAC01	11589
GCA_029532125.1	Ltowsendii_DMNS18807_Prim_1.0	Lepus townsendii								Scaffold	2023-03-31	JAMJIG01	42706
GCA_050436925.1	ASM5043692v1	Pseudoryx nghetinhensis					UCPH-9264	male		Scaffold	2025-05-19	JBNJRJ01	673
GCA_004024605.1	PteBra_v1_BIUU	Pteronura brasiliensis					BS51			Scaffold	2019-01-15	PJEN01	644728
GCA_006408695.1	IMP	Aepyceros melampus					IMP-100			Scaffold	2019-06-24	SJXQ01	24102
GCA_020662805.1	ASM2066280v1	Glaucomys volans				Volans	SFS_CC1	female		Scaffold	2021-10-28	JAJEJO01	61855
GCA_019455555.1	Gpyr_1.0	Galemys pyrenaicus					IBE-C5619	male	Annotation submitted by Institute of Evolutionary Biology (CSIC-UPF)	Scaffold	2021-08-05	JAGFMF01	12306
GCA_000164785.2	C_hoffmanni-2.0.1	Choloepus hoffmanni					OR478-KB4484	female		Scaffold	2014-09-30	ABVD02	269084
GCA_004023965.1	SpiGra_v1_BIUU	Spilogale gracilis					US072			Scaffold	2019-01-15	PITA01	422009
GCA_004026765.1	MicHir_v1_BIUU	Micronycteris hirsuta					US037			Scaffold	2019-01-16	PVJI01	550090
GCA_004024645.1	MizCoq_v1_BIUU	Mirza coquereli					BS13	female		Scaffold	2019-01-15	PVHQ01	440879
GCA_004027495.1	BeaHun_v1_BIUU	Beatragus hunteri					BS46	female		Scaffold	2019-01-16	PVKQ01	535889
GCA_963573605.1	PGDP_AteBel	Ateles belzebuth					JPB105			Scaffold	2023-10-31	CAUYMA01	110868
GCA_004785775.1	NIH_TR_1.0	Grammomys surdaster					TR1022	female		Scaffold	2019-04-12	SRMG01	23656
GCF_004785775.1	NIH_TR_1.0	Grammomys surdaster					TR1022	female	NCBI Grammomys surdaster Annotation Release 100	Scaffold	2019-04-12	SRMG01	23656
GCA_004024825.1	PygNem_v1_BIUU	Pygathrix nemaeus					BS24	female		Scaffold	2019-01-15	PVHW01	1431093
GCA_004027835.1	AloPal_v1_BIUU	Alouatta palliata					BS02			Scaffold	2019-01-16	PVKV01	1136565
GCA_004024625.1	MelCap_v1_BIUU	Mellivora capensis					BS25	female		Scaffold	2019-01-15	PISX01	2068312
GCA_000151885.2	Dord_2.0	Dipodomys ordii					6190	female		Scaffold	2014-12-12	ABRO02	65193
GCF_000151885.1	Dord_2.0	Dipodomys ordii					6190	female	NCBI Dipodomys ordii Annotation Release 100	Scaffold	2014-12-12	ABRO02	65193
GCA_003258685.1	Prosim_1.0	Prolemur simus		KIAN8.4				male		Scaffold	2018-06-20	MPIZ01	128596
GCA_000260355.1	ConCri1.0	Condylura cristata					star-nosed mole 26May11	female		Scaffold	2012-05-01	AJFV01	2040
GCF_000260355.1	ConCri1.0	Condylura cristata					star-nosed mole 26May11	female	NCBI Condylura cristata Annotation Release 101	Scaffold	2012-05-01	AJFV01	2040
GCA_038501445.1	RusAlf_1.1	Rusa alfredi					Abraham	male		Scaffold	2024-04-26	JBCEYX01	57916
GCA_963574315.1	PGDP_ProTat	Propithecus tattersalli								Scaffold	2023-10-31	CAUYOC01	99865
GCA_963574685.1	PGDP_CerNeg	Cercopithecus neglectus								Scaffold	2023-11-02	CAUYQZ01	133645
GCA_004024945.1	UroGra_v1_BIUU	Uropsilus gracilis					US010			Scaffold	2019-01-15	PVHY01	723835
GCA_004027715.1	CalDon_v1_BIUU	Plecturocebus donacophilus					BS44	female		Scaffold	2019-01-16	PVKP01	1033983
GCA_015472975.1	rouLes_1.0	Rousettus leschenaultii								Scaffold	2020-10-30	BNJM01	8141
GCA_023170115.1	Speothos_venaticus_v01	Speothos venaticus					1598	male		Scaffold	2022-04-01	BLYH01	52603
GCA_000951035.1	Cang.pa_1.0	Colobus angolensis palliatus					OR3802	female		Scaffold	2015-03-12	JYKR01	13124
GCF_000951035.1	Cang.pa_1.0	Colobus angolensis palliatus					OR3802	female	NCBI Colobus angolensis palliatus Annotation Release 100	Scaffold	2015-03-12	JYKR01	13124
